semantic_text,synonyms,flow_name,description,material_tags,unit,flow_type,category_path,cas_number,chemical_formula
"Flow: NITROGLYCERIN | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density, long-term | Unit: kg | CAS Number: 000055-63-0 | Materials: other",,NITROGLYCERIN,,other,kg,Elementary Flow,"Elementary flows > Emission to air > low population density, long-term",000055-63-0,
Flow: Dimethyl hydrogen phosphite | Type: Elementary Flow | Category: Elementary flows > Emission to air > lower stratosphere + upper troposphere | Unit: kg | CAS Number: 000868-85-9 | Materials: other,,Dimethyl hydrogen phosphite,,other,kg,Elementary Flow,Elementary flows > Emission to air > lower stratosphere + upper troposphere,000868-85-9,
"Flow: Nitrosourea, N-propyl-N- | Type: Elementary Flow | Category: Elementary flows > Emission to water > river, long-term | Unit: kg | CAS Number: 000816-57-9 | Materials: other",,"Nitrosourea, N-propyl-N-",,other,kg,Elementary Flow,"Elementary flows > Emission to water > river, long-term",000816-57-9,
Flow: N-Nitroso-N-isobutylurea | Type: Elementary Flow | Category: Elementary flows > Emission to water > river | Unit: kg | CAS Number: 000760-60-1 | Materials: other,,N-Nitroso-N-isobutylurea,,other,kg,Elementary Flow,Elementary flows > Emission to water > river,000760-60-1,
"Flow: Benzidine, 3,3'-dimethyl-, dihydrochloride | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | CAS Number: 000612-82-8 | Materials: other",,"Benzidine, 3,3'-dimethyl-, dihydrochloride",,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,000612-82-8,
Flow: C.I. Basic violet 3 | Type: Elementary Flow | Category: Elementary flows > Emission to soil > forestry | Unit: kg | CAS Number: 000548-62-9 | Materials: other,,C.I. Basic violet 3,,other,kg,Elementary Flow,Elementary flows > Emission to soil > forestry,000548-62-9,
"Flow: Benzene, 1-methoxy-4-(2-propenyl)- | Type: Elementary Flow | Category: Elementary flows > Emission to air > unspecified | Unit: kg | CAS Number: 000140-67-0 | Materials: other",,"Benzene, 1-methoxy-4-(2-propenyl)-",,other,kg,Elementary Flow,Elementary flows > Emission to air > unspecified,000140-67-0,
Flow: Ciprofibrate | Type: Elementary Flow | Category: Elementary flows > Emission to air > high population density | Unit: kg | CAS Number: 052214-84-3 | Materials: other,,Ciprofibrate,,other,kg,Elementary Flow,Elementary flows > Emission to air > high population density,052214-84-3,
Flow: 2-Acetylaminofluorene | Type: Elementary Flow | Category: Elementary flows > Emission to water > fresh water | Unit: kg | CAS Number: 000053-96-3 | Materials: other,,2-Acetylaminofluorene,,other,kg,Elementary Flow,Elementary flows > Emission to water > fresh water,000053-96-3,
"Flow: Terbutaline | Type: Elementary Flow | Category: Elementary flows > Emission to air > low population density, long-term | Unit: kg | CAS Number: 023031-25-6 | Materials: other",,Terbutaline,,other,kg,Elementary Flow,"Elementary flows > Emission to air > low population density, long-term",023031-25-6,
Flow: Ethylnitrosocyanamide | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | CAS Number: 038434-77-4 | Materials: other,,Ethylnitrosocyanamide,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,038434-77-4,
"Flow: N-Nitrosohexamethyleneimine | Type: Elementary Flow | Category: Elementary flows > Emission to water > river, long-term | Unit: kg | CAS Number: 000932-83-2 | Materials: other",,N-Nitrosohexamethyleneimine,,other,kg,Elementary Flow,"Elementary flows > Emission to water > river, long-term",000932-83-2,
"Flow: Dimethyl hydrogen phosphite | Type: Elementary Flow | Category: Elementary flows > Emission to water > river, long-term | Unit: kg | CAS Number: 000868-85-9 | Materials: other",,Dimethyl hydrogen phosphite,,other,kg,Elementary Flow,"Elementary flows > Emission to water > river, long-term",000868-85-9,
Flow: 3'-Amino-4'-ethoxyacetanilide | Type: Elementary Flow | Category: Elementary flows > Emission to water > river | Unit: kg | CAS Number: 017026-81-2 | Materials: other,,3'-Amino-4'-ethoxyacetanilide,,other,kg,Elementary Flow,Elementary flows > Emission to water > river,017026-81-2,
"Flow: Zearalenone | Type: Elementary Flow | Category: Elementary flows > Emission to water > river, long-term | Unit: kg | CAS Number: 017924-92-4 | Materials: other",,Zearalenone,,other,kg,Elementary Flow,"Elementary flows > Emission to water > river, long-term",017924-92-4,
"Flow: Nitrosoheptamethyleneimine | Type: Elementary Flow | Category: Elementary flows > Emission to water > river, long-term | Unit: kg | CAS Number: 020917-49-1 | Materials: other",,Nitrosoheptamethyleneimine,,other,kg,Elementary Flow,"Elementary flows > Emission to water > river, long-term",020917-49-1,
Flow: 2-Aminoanthraquinone | Type: Elementary Flow | Category: Elementary flows > Emission to air > unspecified | Unit: kg | CAS Number: 000117-79-3 | Materials: other,,2-Aminoanthraquinone,,other,kg,Elementary Flow,Elementary flows > Emission to air > unspecified,000117-79-3,
Flow: p-Cresidine | Type: Elementary Flow | Category: Elementary flows > Emission to soil > unspecified | Unit: kg | CAS Number: 000120-71-8 | Materials: other,,p-Cresidine,,other,kg,Elementary Flow,Elementary flows > Emission to soil > unspecified,000120-71-8,
"Flow: Nitrosamine, dipentyl- | Type: Elementary Flow | Category: Elementary flows > Emission to air > indoor | Unit: kg | CAS Number: 013256-06-9 | Materials: other",,"Nitrosamine, dipentyl-",,other,kg,Elementary Flow,Elementary flows > Emission to air > indoor,013256-06-9,
